Brand,Brand_Name,STR_Chain_Scale
HOLI,Holiday Inn,Upper Midscale
CDLW,Candlewood Suites,Midscale
STAY,Staybridge Suites,Upper Upscale
HCPS,Crowne Plaza Suites,Upper Upscale
HICP,Crowne Plaza,Upper Upscale
HISL,Holiday Inn Select,Upper Midscale
HIEX,Holiday Inn Express,Upper Midscale
HISR,Holiday Inn Resort,Upper Midscale
HIIS,Holiday Inn Hotel and Suites,Upper Midscale
ICON,InterContinental Hotels,Luxury
HCPR,Crowne Plaza Resort,Upper Upscale
HEXS,Holiday Inn Express and Suites,Upper Midscale
HIFS,Holiday Inn Family Suites,Upper Midscale
